;x;y;x;y;MODULUS GPa;MODULUS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS HV;HARDNESS HV;STIFFNESS N/m;STIFFNESS N/m;S2overP;S2overP;MODULUS GPa;MODULUS GPa;MODULUS GPa;MODULUS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS GPa;S2overP;S2overP;S2overP;S2overP;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis
;absolut;absolut;real;real;mean;std;mean;std;mean;std;mean;std;mean;std;Intercept;Coefficient;Slope%;R2_Score;Intercept;Coefficient;Slope%;R2_Score;Intercept;Coefficient;Slope%;R2_Score;Loading_A;Loading_n;Unloading_A;Unloading_n;hf;Area_Load;Area_Unload;Energy_Dissipated
Indent 1;0;0;0;0;205,6576624;5,502171607;4,88004524;0,360845533;461,1642752;34,0999029;301214,9103;51256,27611;9321073039;317613540,1;232,0599447;-0,091762359;-8,871907982;0,924025033;6,676865018;-0,006244931;-25,4449221;0,995028297;7859159104;5080949,817;10,83867887;0,850187382;0,001453698;1,55585656;0,001843732;2,161945915;342,5334413;2520,551036;367,8726849;2152,678351
Indent 2;0;4,001;0,292;4,144;177,426046;2,211834047;2,955731738;0,076446124;279,3166493;7,224158739;278935,647;53689,85223;11970368884;469600307,7;171,5437992;0,020053076;2,259220185;0,274882508;3,318632866;-0,001237161;-8,366734612;0,875853335;9831596725;7291254,834;12,17558056;0,80619109;0,000376694;1,718152413;5,98312E-05;3;349,5994212;1641,985104;204,0500357;1437,935068
Indent 3;0;8,001;0,592;8,147;169,483506;1,66659914;3,25671926;0,186435294;307,7599701;17,61813525;265843,6515;50234,11373;10069318901;635753429,1;165,9649922;0,012003743;1,409517284;0,167042747;4,183502606;-0,003161809;-19,32130672;0,926129273;6874641565;10898944,67;21,54098218;0,946341772;0,00111926;1,540609499;4,46542E-05;3;341,7534861;1791,728949;221,695273;1570,033676
Indent 4;0;12,001;1,059;12,183;215,1310001;6,167497079;4,874912727;0,323718383;460,6792527;30,59138724;311978,8009;52117,76317;10048640026;270496483,1;244,439787;-0,102409283;-9,444651232;0,90150671;6,492880574;-0,005653422;-23,00880792;0,99723205;8953531139;3826474,148;7,555115212;0,654308468;0,001198462;1,590314745;9,38836E-05;2,815607253;334,4593543;2514,325986;355,0433788;2159,282607
Indent 5;0;16,002;1,392;16,119;195,9724637;8,785983411;3,611095864;0,093726809;341,2485592;8,857183425;300076,3972;65692,64965;11583257681;590926953,8;152,836186;0,148573673;15,14941566;0,923504292;3,152664288;0,001578969;8,737431301;0,916549091;8757560368;9732509,433;16,78970977;0,876028069;0,000123536;1,948097193;5,54857E-05;3;343,011119;1972,826745;282,3289281;1690,497817
Indent 6;0;20,003;1,693;19,988;180,16128;2,817664323;3,282772779;0,148592246;310,2220276;14,04196728;278820,8108;49357,88306;11065570183;310336376;191,6961398;-0,039541084;-4,384864856;0,652927357;4,029002854;-0,00255805;-15,56815952;0,982589062;9738943412;4547628,789;8,210702341;0,711952256;0,000540264;1,669140833;5,77653E-05;3;349,6851989;1784,235282;218,3835113;1565,851771
Indent 7;0;24,003;2,059;24,057;172,2788614;2,451504202;3,178809217;0,111015672;300,397471;10,49098099;270723,6017;52586,32171;10592051487;559926314,2;163,2568067;0,03074604;3,537060312;0,513870963;3,706599099;-0,001798642;-11,21413025;0,857554998;7896589545;9185798,879;17,18787238;0,879251458;0,000486912;1,683742289;0,001011272;2,334300957;349,0234432;1730,696082;221,0599273;1509,636154
Indent 8;0;28,004;2,56;27,793;179,2545756;2,399270039;3,822484631;0,208854519;361,2247977;19,73675208;275388,4755;50100,16669;9431344211;402436757,6;186,1245917;-0,023521948;-2,618476592;0,315420605;4,857399934;-0,003543401;-18,49780732;0,944614644;7494004825;6633171,573;14,03438231;0,891556651;0,001029185;1,580246277;0,000132656;2,675839345;332,4094615;2061,881992;287,5791508;1774,302841
Indent 9;0;32,004;2,86;32,029;179,3527188;3,252620215;3,032101685;0,073909826;286,5336092;6,984478513;282168,0186;56533,63907;11887978464;566494393,4;166,3538229;0,044221259;4,917604325;0,625601058;3,354632919;-0,001097227;-7,217438577;0,745916918;9168035104;9253041,332;15,52411786;0,902983354;0,000338935;1,741127869;6,46013E-05;3;352,0851864;1678,373735;199,1456345;1479,228101
Indent 10;0;36,005;3,094;35,932;187,4150905;5,010525949;3,381150745;0,038587551;319,5187454;3,646523592;291618,2844;60110,72857;11479962760;509347067,8;164,8733149;0,076807658;8,114971652;0,779180215;3,395573131;-4,91421E-05;-0,287790219;0,005377843;9098709408;8113757,157;13,99486027;0,841418179;0,000211896;1,841747124;0,001008694;2,331912405;346,1633196;1832,005207;263,8452896;1568,159918
Indent 11;0;40,005;3,527;39,935;195,6737617;2,180434669;3,550994847;0,052412216;335,569013;4,952954438;296074,1203;56202,68966;11754741940;216344583,3;190,8777809;0,016650772;1,69209661;0,190570824;3,609339366;-0,000202562;-1,13430631;0,048811573;11068304675;2383185,263;4,031513075;0,396549458;0,000206526;1,852707472;8,96107E-05;2,793817357;340,0156863;1906,326261;265,6470056;1640,679256
Indent 12;0;44,006;3,827;44,104;202,6809952;1,94442588;3,604903501;0,116645032;340,6633809;11,02295554;308860,0803;58372,13573;12297622986;510273183,4;198,6053073;0,013974211;1,3757713;0,168416383;4,193601465;-0,002018454;-11,17267709;0,976377723;9868494176;8328694,104;13,51411865;0,868682131;0,000495048;1,702257667;0,002136316;2,186394401;353,9125345;1966,015058;250,719603;1715,295455
Indent 13;4;44,006;7,73;43,871;192,9224404;1,814232418;3,217303626;0,102408069;304,0351926;9,677562506;297709,2909;55261,8132;12678470090;430505600,3;193,8096708;-0,003037807;-0,314327427;0,00924448;3,732238195;-0,001763095;-10,93927584;0,977307333;10735354617;6653074,506;10,47515198;0,787471822;0,000457945;1,697523885;6,84008E-05;3;356,4703585;1772,36041;209,6256773;1562,734733
Indent 14;4;40,005;7,396;39,768;195,1921149;1,976166736;3,365866823;0,035947011;318,0744148;3,396992569;301708,0636;57293,35561;12350188444;260332340,8;189,3618215;0,01986326;2,033936978;0,335389642;3,472687483;-0,000363928;-2,161064236;0,340252186;11341986496;3434848,905;5,558828771;0,57790281;0,000284562;1,789964185;6,34977E-05;3;348,19594;1862,717096;245,29989;1617,417206
Indent 15;4;36,004;7,196;36,099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indent 16;4;32,004;6,896;32,196;207,2236142;6,051987768;3,977214316;0,222591968;375,8467528;21,03494097;307688,9542;50885,11682;11562393971;183741475,2;236,6213905;-0,102113636;-9,838611084;0,942146731;5,086021445;-0,003851459;-19,33461695;0,990783369;11050943414;1776531,516;3,067711042;0,309370274;0,000585872;1,6845595;0,00176427;2,23726989;355,861004;2100,762345;253,5710714;1847,191273
Indent 17;4;28,004;6,562;28,227;187,8563692;1,655083788;3,582312051;0,102442022;338,5284888;9,680771112;286943,3893;53340,25186;10883105668;320842582,9;189,9352135;-0,007165896;-0,761523646;0,061896856;4,085461713;-0,001734386;-9,665428603;0,946460955;9549666296;4596441,949;8,431556884;0,677683886;0,000362053;1,754097732;0,001348256;2,276560146;350,2552687;1927,793593;267,6202274;1660,173365
Indent 18;4;24,003;6,229;24,224;176,7702237;3,00679154;3,00245899;0,051454976;283,7323746;4,862495207;278107,9423;55197,74797;11708275686;511854318,5;162,9539826;0,047106165;5,312866775;0,814817528;3,24179954;-0,000816026;-5,418603012;0,834958728;9224240456;8469262,5;14,42158336;0,908887128;0,000314158;1,752804812;5,74739E-05;3;349,2916208;1660,359792;207,5784588;1452,781333
Indent 19;4;20,003;5,862;20,255;174,0249198;1,44421933;3,227530938;0,134353792;305,0016736;12,69643336;270558,4606;50077,53516;10611440745;411190611,4;176,6497576;-0,009010209;-1,031343147;0,128621799;3,90399471;-0,002322079;-14,33132304;0,987109126;8645381332;6748838,534;12,66876967;0,890190251;0,000482203;1,686097051;4,70284E-05;3;344,2760015;1743,48835;221,4480969;1522,040253
Indent 20;4;16,002;5,662;16,386;163,694653;1,397877065;2,817236719;0,132033547;266,22887;12,47717016;259647,4612;48035,40767;10949263727;546960291,5;162,534406;0,003957992;0,4816175;0,025586384;3,486272896;-0,002282307;-16,13661861;0,953622591;8217522107;9318887,853;16,95278195;0,926432001;0,000724163;1,593973815;5,34922E-05;3;348,8236544;1566,608813;176,3882461;1390,220567
Indent 21;4;12,001;5,262;12,35;177,6876778;2,876584956;3,560613329;0,217921281;336,4779595;20,59356104;271404,0519;47541,01113;9975981795;380824064,1;191,1681889;-0,046661239;-5,233639245;0,857091231;4,661068535;-0,003809099;-21,32074096;0,995208781;8146186175;6333627,097;12,65323788;0,901000737;0,0007008;1,633710113;4,81055E-05;3;345,3166922;1885,436616;231,9072561;1653,52936
Indent 22;4;8,001;4,961;8,414;168,6761481;1,678037027;2,976451059;0,102680498;281,274625;9,7033071;266551,4161;50578,70882;10903631075;451539331;165,8686965;0,009558008;1,130629636;0,108080671;3,480523852;-0,001716123;-11,50419613;0,930544487;8747985652;7338924,879;13,42975046;0,880014936;0,000485073;1,673697969;5,82743E-05;3;350,3359073;1644,396923;193,8317181;1450,565205
Indent 23;4;4,001;4,528;4,544;192,0700007;5,191049938;3,378458528;0,053965093;319,2643309;5,099701268;300035,3899;61678,18674;11973775219;459014279,6;166,7270447;0,085784842;8,923551945;0,91101109;3,232221325;0,000495007;2,927381372;0,280678681;9839735934;7223633,353;12,05344897;0,826174842;0,000185365;1,866283769;4,46995E-05;3;338,667183;1865,811929;268,7442717;1597,067657
